Theta,Power,Theta,Power,Theta,Power,Theta,Power,Theta,Power
theta,W,theta,W,theta,W,theta,W,theta,W
,1960mA,,1960mA,,1960mA,,1960mA,,1960mA
239.319,0.153,238.8534,0.148,238.081,0.159,238.7466,0.157,239.7437,0.142
241.8894,0.125,241.5357,0.129,240.692,0.14,240.6506,0.138,242.3645,0.124
243.6496,0.107,243.3016,0.112,242.5447,0.121,242.4723,0.12,244.126,0.106
245.499,0.099,245.199,0.095,244.3206,0.104,244.509,0.102,246.071,0.09
247.2737,0.083,247.7957,0.079,246.906,0.088,246.3376,0.086,247.76,0.074
249.8544,0.068,249.644,0.065,247.8066,0.073,247.9957,0.078,250.365,0.06
251.7225,0.055,251.425,0.052,249.579,0.059,249.8086,0.064,252.1366,0.048
253.5546,0.043,254.0364,0.04,252.449,0.046,252.3986,0.045,253.971,0.037
255.28,0.032,256.0524,0.03,254.1745,0.035,254.2365,0.039,255.756,0.031
257.0266,0.023,258.061,0.021,256.023,0.026,256.0123,0.025,257.5173,0.023
259.643,0.016,259.897,0.014,258.6847,0.018,258.643,0.017,259.482,0.015
261.4436,0.01,261.567,0.009,260.486,0.011,260.3944,0.011,261.2487,0.009
263.235,0.005,263.363,0.005,262.2994,0.007,262.227,0.006,262.8464,0.005
265.006,0.003,265.9944,0.002,264.085,0.003,264.035,0.003,265.621,0.003
266.8597,0.002,267.755,0.002,265.913,0.002,266.6393,0.002,266.527,0.002
269.6086,0.002,269.588,0.002,268.416,0.002,268.3907,0.002,269.3773,0.002
271.4767,0.004,271.3636,0.005,270.172,0.003,270.2426,0.004,271.2563,0.004
273.3864,0.008,273.9495,0.009,271.9023,0.006,272.7983,0.007,273.0895,0.008
275.219,0.013,275.757,0.015,274.662,0.011,274.5387,0.012,274.9674,0.014
276.981,0.02,277.5065,0.022,276.669,0.018,276.3604,0.018,276.7954,0.021
278.8645,0.028,279.2526,0.026,278.41,0.025,278.234,0.027,279.2943,0.029
281.608,0.038,281.2337,0.041,280.2627,0.035,279.9897,0.031,281.1155,0.039
283.62,0.05,283.1544,0.052,282.017,0.046,282.6157,0.047,282.877,0.051
285.4475,0.063,284.9604,0.066,283.845,0.052,283.697,0.053,285.339,0.064
287.369,0.077,286.823,0.08,285.5496,0.065,286.3065,0.067,287.116,0.078
289.256,0.092,289.465,0.096,288.166,0.087,288.1303,0.081,288.9586,0.094
291.1,0.109,291.206,0.113,289.84,0.103,290.0036,0.097,290.806,0.102
292.9833,0.127,293.0797,0.131,292.409,0.121,291.7487,0.114,292.491,0.12
295.63,0.146,294.8566,0.151,293.322,0.13,293.459,0.133,295.2035,0.138
297.6144,0.166,297.4565,0.17,296.157,0.159,296.13,0.152,297.112,0.158
299.623,0.187,299.2886,0.191,298.158,0.18,298.116,0.172,298.014,0.178
301.2744,0.208,301.1473,0.213,300.165,0.201,300.129,0.193,299.8877,0.199
303.8775,0.242,302.9904,0.235,301.828,0.212,301.2036,0.215,302.7226,0.221
305.596,0.265,304.838,0.258,303.647,0.245,304.132,0.237,304.384,0.244
307.388,0.289,306.616,0.27,305.5336,0.257,305.91,0.26,306.107,0.267
309.2665,0.313,309.2,0.294,307.587,0.28,307.7303,0.284,308.739,0.291
312.0306,0.337,311.027,0.33,309.282,0.304,309.5025,0.307,310.5517,0.315
313.8684,0.361,312.885,0.342,311.9134,0.328,312.1176,0.331,312.3327,0.339
315.6854,0.385,314.5847,0.366,313.746,0.364,313.035,0.355,314.104,0.363
317.365,0.408,316.3663,0.389,315.7735,0.388,315.614,0.379,315.86,0.387
320.007,0.432,319.197,0.413,317.5374,0.411,317.4467,0.403,318.6855,0.41
321.8705,0.455,321.0094,0.436,320.15,0.435,319.3314,0.426,319.597,0.434
323.698,0.477,322.704,0.459,321.977,0.446,321.1735,0.45,322.1913,0.457
325.4373,0.499,325.4227,0.481,323.8964,0.469,323.0415,0.472,324.204,0.48
328.0383,0.52,327.188,0.503,325.7707,0.491,325.0033,0.494,325.971,0.501
329.805,0.53,328.094,0.524,327.66,0.512,326.8203,0.516,327.9607,0.523
330.747,0.55,330.9294,0.544,329.3854,0.533,329.667,0.536,329.718,0.543
332.713,0.569,332.696,0.563,332.088,0.552,331.4274,0.555,331.5233,0.562
335.307,0.586,334.591,0.58,333.966,0.571,333.1533,0.574,333.398,0.571
337.299,0.603,336.3054,0.597,335.7835,0.588,335.6756,0.591,336.019,0.597
339.3685,0.618,339.1263,0.612,337.6567,0.604,337.4577,0.607,337.821,0.613
341.189,0.632,340.923,0.626,339.367,0.619,339.295,0.622,339.632,0.627
343.7027,0.644,343.4375,0.639,341.143,0.632,341.885,0.635,341.446,0.64
345.531,0.655,344.3424,0.651,343.79,0.645,343.673,0.647,344.0303,0.652
347.3533,0.664,347.2705,0.661,345.7244,0.655,345.654,0.658,345.726,0.662
349.017,0.673,349.1646,0.668,347.4763,0.664,347.486,0.667,347.5414,0.671
350.84,0.679,350.926,0.676,349.243,0.672,349.267,0.674,349.41,0.674
352.59,0.683,352.76,0.68,351.233,0.678,351.0384,0.68,352.0214,0.68
355.1626,0.686,354.485,0.684,353.004,0.682,353.66,0.684,353.833,0.685
356.659,0.687,356.028,0.685,355.4903,0.685,355.366,0.686,355.69,0.687
357.849,0.687,357.899,0.685,356.9223,0.686,356.8806,0.687,357.152,0.688
359.186,0.686,358.9456,0.685,358.144,0.685,358.1345,0.687,358.2783,0.688
359.736,0.686,359.542,0.685,359.0284,0.685,359.0404,0.686,359.1326,0.687
359.982,0.685,359.8963,0.684,359.6343,0.684,359.6473,0.685,359.888,0.686
